C.D.S.  -  SIMBAD4 rel 1.7  -  2019.06.04CEST09:05:31

2018ApJ...863...91F2018ApJ...863...91F
--------------------------------------

2018ApJ...863...91F
10.3847/1538-4357/aac76e

Astrophys. J., 863, 91-91 (2018/August-2)
New and known moving groups and clusters identified in a Gaia comoving catalog.
FAHERTY J.K., BOCHANSKI J.J., GAGNE J., NELSON O., COKER K., SMITHKA I.,
DESIR D. and VASQUEZ C.

-Status: waiting for electronic table
-Files: (abstract)

Number of objects : 289

 # 	 obj tags 	obj count	           identifier           	typ	       coord1 (ICRS,J2000/2000)        	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   	#bib	#not
---	----------	---------	--------------------------------	---	---------------------------------------	------	------	------	------	------	---------------	----	----
72 	d         	        2	BD+22 552                       	*iC	03 46 47.0617051952 +22 54 52.486656810	     ~	11.3  	10.8  	     ~	 9.77 	F8             	  43	   0
73 	d         	        1	BD+23 527                       	*iC	03 46 53.7461194176 +23 35 00.798720999	11.607	11.1  	10.6  	     ~	 9.85 	G0V            	  54	   0
74 	acdx      	       91	Cl Melotte 22                   	OpC	03 47 00.0 +24 07 00                   	     ~	     ~	     ~	     ~	     ~	~              	2872	   0
75 	d         	        2	Cl* Melotte 22 DH 486           	*iC	03 47 01.4200607714 +23 29 41.788598803	13.035	12.31 	11.47 	     ~	10.58 	K0V            	  46	   0
76 	d         	        1	HD 23632                        	*iC	03 47 20.9687127623 +23 48 12.039404853	     ~	 7.04 	 7.02 	     ~	 7.01 	A1V            	  95	   0
77 	d         	        1	G 80-21                         	PM*	03 47 23.3412010775 -01 58 19.945342289	14.052	13.048	11.537	10.452	 9.098	M3.0V          	  71	   0
78 	d         	        1	V* V650 Tau                     	dS*	03 47 26.8283153258 +23 40 41.987151754	     ~	 7.93 	 7.79 	     ~	 7.61 	A3Van          	  99	   0
79 	d         	        2	TYC 1800-2170-1                 	PM*	03 47 48.1176100446 +23 13 05.115699797	     ~	11.9  	11.2  	     ~	10.33 	G7V            	  40	   0
80 	d         	        3	HD 23732                        	*iC	03 48 16.8731373014 +25 12 54.440566591	 9.67 	 9.62 	 9.21 	 8.70 	 8.55 	F4V            	  63	   0
81 	d         	        3	HD 23792                        	PM*	03 48 39.3239231926 +21 55 29.860054208	     ~	 8.78 	 8.41 	     ~	     ~	F0             	  25	   0
82 	d         	        2	HD 23791                        	*iC	03 48 43.8959938565 +23 15 35.336988439	     ~	 8.64 	 8.38 	     ~	 8.05 	kA7hA8mF0IV    	  60	   0
83 	d         	        3	HD 23852                        	PM*	03 49 11.2561203610 +22 36 34.089207553	     ~	 7.90 	 7.75 	     ~	     ~	A0             	  18	   0
84 	d         	        2	HD 23912                        	*iC	03 49 32.7248849664 +23 22 49.444035577	     ~	 9.55 	 9.14 	     ~	 8.63 	F4Vn           	  55	   1
85 	d         	        3	HD 23913                        	*iC	03 49 38.1800134533 +22 32 00.540532345	     ~	 7.03 	 7.00 	     ~	     ~	B9             	  33	   0
86 	d         	        2	Cl Melotte 22 2406              	SB*	03 49 39.4008498367 +23 17 24.380024273	     ~	11.86 	11.10 	     ~	     ~	G1             	  35	   0
87 	d         	        2	HD 23924                        	*iC	03 49 40.9234318995 +23 20 29.655751197	     ~	 8.32 	 8.13 	     ~	 7.91 	A5VkA7mA7      	  71	   0
88 	d         	        1	HD 23990                        	*  	03 49 46.4941873182 +09 24 26.986474742	 6.580	 6.730	 6.760	     ~	     ~	B9             	  17	   0
89 	d         	        3	HD 23950                        	*iC	03 49 55.0667676722 +22 14 38.950974883	     ~	 6.046	 6.070	     ~	     ~	B8III          	  94	   0
90 	d         	        2	BD+22 574                       	*iC	03 49 56.4958887645 +23 13 07.044527158	     ~	10.79 	10.2  	     ~	 9.58 	F8             	  54	   1
91 	d         	        3	TYC 1800-669-1                  	PM*	03 50 21.3045213211 +23 05 46.863682320	     ~	12.19 	11.36 	     ~	     ~	~              	  23	   0
92 	d         	        1	BD+10 496                       	*  	03 50 50.5326614513 +11 00 05.494483324	     ~	10.85 	10.28 	     ~	     ~	F8             	   3	   0
93 	d         	        1	V* V766 Tau                     	a2*	03 51 15.8708072234 +13 02 45.875628119	 5.88 	 6.32 	 6.38 	 6.36 	 6.39 	B9pSi          	  87	   0
94 	d         	        1	TYC 664-136-1                   	*  	03 51 39.6479947368 +14 47 48.206349138	     ~	12.25 	11.55 	11.76 	     ~	~              	   6	   2
95 	d         	        3	BD+19 605                       	*iC	03 52 00.8082682105 +19 35 48.721627844	     ~	11.104	10.476	 9.91 	 9.727	~              	  21	   0
96 	d         	        3	TYC 1261-1630-1                 	*  	03 53 28.8559564937 +20 54 26.507231273	     ~	12.86 	11.67 	     ~	     ~	~              	   5	   0
97 	d         	        1	TYC 72-816-1                    	*  	03 53 47.6583855511 +05 42 23.407695564	     ~	13.50 	12.15 	     ~	     ~	~              	   2	   0
98 	d         	        3	HIP 18266                       	PM*	03 54 27.8322540541 +21 23 23.083496405	     ~	11.672	10.948	     ~	10.143	~              	  21	   0
99 	d         	        1	HD 24681                        	PM*	03 55 20.4038840168 -01 43 45.202473510	     ~	 9.78 	 9.04 	     ~	     ~	G5V            	  18	   0
100	d         	        3	TYC 1261-1415-1                 	PM*	03 55 31.9380393612 +21 04 46.176918167	     ~	11.810	11.037	     ~	10.193	~              	  16	   0
101	d         	        1	HD 286374                       	*  	03 56 19.1985555458 +11 25 11.211275842	     ~	10.67 	10.07 	     ~	     ~	F5             	   4	   0
102	d         	        3	TYC 1253-388-1                  	PM*	03 57 49.7260253906 +18 33 44.608691483	     ~	12.45 	11.32 	     ~	     ~	~              	   5	   0
103	d         	        3	BD+20 672                       	PM*	03 58 01.6915806295 +20 40 36.435038687	     ~	 9.831	 9.380	 9.04 	 8.802	F8             	  24	   0
104	d         	        3	Cl* Melotte 22 AK V-308         	*iC	03 58 21.6197094731 +21 15 27.606373794	     ~	12.267	11.445	     ~	10.562	~              	   9	   0
105	d         	        1	TYC 662-217-1                   	*  	03 59 42.1327894372 +12 10 08.527078500	     ~	11.81 	11.11 	     ~	     ~	~              	   3	   0
106	d         	        1	BD+08 616                       	*  	04 01 21.3573768809 +09 20 01.429782059	     ~	10.58 	 9.86 	     ~	     ~	F8             	   5	   0
107	d         	        3	BD+22 624                       	*iC	04 03 44.1708869130 +22 56 39.424722385	     ~	10.269	 9.726	 9.34 	 8.986	F5             	  27	   0
108	d         	        1	HD 25953                        	PM*	04 06 41.5333591318 +01 41 02.078640677	     ~	 8.32 	 7.82 	     ~	     ~	F6V            	  41	   1
109	d         	        3	HD 284215                       	PM*	04 08 55.3866289816 +20 23 09.589035300	     ~	 9.86 	 9.35 	     ~	     ~	F5             	   9	   0
110	d         	        1	HD 25665                        	PM*	04 09 35.0398609303 +69 32 29.008792137	     ~	 8.67 	 7.697	 7.1  	 6.7  	K2.5V          	  87	   0
111	d         	        1	TYC 80-202-1                    	*  	04 15 51.0942023964 +07 07 04.154559221	     ~	11.93 	11.01 	     ~	     ~	~              	   2	   0
112	d         	        1	TYC 668-737-1                   	*  	04 21 24.3637261710 +08 53 54.703091221	     ~	12.75 	12.30 	     ~	     ~	~              	   2	   0
113	d         	        1	HD 27687                        	*  	04 22 24.1920710186 +06 31 45.478878334	     ~	 9.31 	 8.99 	     ~	     ~	A3             	   3	   0
114	d         	        1	BD+05 638                       	*  	04 22 33.0008900700 +05 41 39.146855214	     ~	 9.67 	 9.18 	     ~	     ~	F5             	   4	   0
115	cdx       	       13	NAME Hyades                     	OpC	04 26 54.00 +15 52 00.0                	     ~	     ~	     ~	     ~	     ~	~              	2543	   0
116	d         	        1	HD 28356                        	*  	04 28 32.7118829303 +06 05 52.405459318	     ~	 9.48 	 9.01 	     ~	     ~	A3             	   3	   0
117	d         	        1	HD 28890                        	*  	04 32 52.3873816624 -05 43 31.312484379	     ~	 9.63 	 9.21 	 8.8  	     ~	F3V            	   4	   0
118	d         	        1	BD-08 880                       	*  	04 33 31.9896318420 -07 58 41.979610908	     ~	11.21 	10.44 	     ~	     ~	~              	   3	   0
119	d         	        1	HD 29109                        	*  	04 34 34.0619518715 -10 35 27.863101582	     ~	 9.52 	 9.15 	     ~	     ~	F3V            	   4	   0
120	d         	        1	HD 29323                        	*  	04 36 50.0687655884 -08 27 37.743835059	     ~	 7.04 	 7.07 	     ~	     ~	B9V            	   7	   0
121	d         	        1	HD 29406                        	*  	04 37 38.1748940697 -05 30 43.231579816	     ~	 9.13 	 8.82 	     ~	     ~	A9V            	   4	   0
122	cx        	        3	NAME Taurus Dark Cloud          	SFR	04 41 00.0 +25 52 00                   	     ~	     ~	     ~	     ~	     ~	~              	3233	   0
123	x         	        1	NAME HIP 21974 Cluster          	MGr	04 41 37.0 +71 14 12                   	     ~	     ~	     ~	     ~	     ~	~              	  23	   0
124	d         	        1	LP 776-25                       	PM*	04 52 24.4147207305 -16 49 21.927255340	     ~	12.76 	11.639	11.237	 9.1  	M3.3V          	  46	   0
125	d         	        1	BD+00 884                       	*  	04 52 45.9218474931 +00 41 14.059147206	     ~	10.63 	10.20 	     ~	     ~	F8             	   7	   0
126	d         	        1	HD 31125                        	*  	04 53 04.8147571444 -01 16 32.794707627	     ~	 7.99 	 7.92 	     ~	     ~	A7/F0          	  10	   0
127	d         	        1	TYC 4745-475-1                  	*  	04 53 12.0518275756 -03 49 10.025349963	     ~	13.13 	11.48 	     ~	     ~	~              	   3	   0
128	d         	        1	TYC 4741-307-1                  	*  	04 56 18.2748757002 -01 53 32.801063723	     ~	11.55 	10.87 	     ~	     ~	~              	   3	   0
