,cluster,distance
540,,6.1442156852718774
541,ESO_425-15,62.039599986245726
542,ESO_425-15,52.43015471544253
544,,3.080438674065477
545,FSR_1065,27.800881113868172
546,NGC_2301,15.197694979099923
547,NGC_2286,13.79907235967657
548,FSR_1065,30.44516357813859
551,,13.012342589769652
552,,10.40471584815732
554,Hyades,1.9621850330316457
555,,20.298825804602032
556,,4.056281779946941
557,,10.304025180658126
558,,26.16951134005882
559,,7.742061094853661
560,NGC_2539,5.138158420504289
561,,6.148533625473184
562,,9.03020064505013
563,,
564,,11.010183829073057
567,,9.388248411727432
568,,
569,,7.571704996812968
570,,9.145644683622729
571,,8.226616660915905
573,,4.968177062952406
574,FSR_1391,28.286887289589238
575,,5.881375386814255
576,,8.713479819893713
578,FSR_1366,62.34577647001332
579,,9.61522193631141
580,Vel_OB2,7.587415280610077e-05
581,Trumpler_10,2.062653477412807e-05
582,NGC_2587,27.956395420729557
583,,1.647477084864265e-05
584,,9.871469561110845e-05
586,,2.2024203303907012e-05
588,,2.734401969924468e-05
589,,10.602635920316274
590,Ruprecht_71,33.19593436310044
593,,8.588550865046653
594,Ruprecht_58,15.85005319450861
595,,8.986998370506198
596,,7.701757399388192
598,Collinder_173,19.389161367370487
600,NGC_2546,9.243270054598767
601,,3.531736652180288
602,NGC_2451B,12.060493099889712
603,,7.649169270163664
604,ESO_430-18,8.657061416654315
605,Ruprecht_66,381.8985514898464
607,Ruprecht_53,28.684686167501486
609,,6.68950276583208
611,,6.0309265622387915
612,,3.047482987148555e-05
613,,10.89768131850761
614,,4.9997708530671225
615,,9.33011906223534
616,NGC_2669,27.021501639623988
617,Ruprecht_63,276.45396949253904
618,NGC_2451A,7.741964910677944
620,,7.488099953534757
622,Collinder_173,2.400040790293224
624,,6.644103762695048e-06
625,,8.079126352372768e-05
626,,7.490191513718814e-05
628,,4.233831886105041
629,,4.334134217615476
631,,4.8612972269005725e-05
637,,6.292673406081718
640,,5.584753118486627
641,,7.557396781922418
642,,0.00012980515774593793
644,ASCC_33,2.613093080093697
645,,6.12439233118282
646,,13.87931317870041
647,Platais_5,62.23374296014534
649,,6.510732886227498
651,,5.941829514594522
652,,8.281032094430858
654,,6.020701911357175
655,,3.234418696472435
656,,6.545795328034894
657,Turner_5,33.863671010263694
658,,4.93203690069829
659,,12.488373431394361
660,,25.620955133484085
661,,21.758806580398364
663,,2.5762507809944646
664,,5.232583584559804
666,Collinder_173,4.901166967145858
667,,7.516389109017627
669,,9.958747049534425
672,TWA,2.6504918228123175
674,,4.215189307186235
675,,12.134465210163693
676,ESO_502-19,151.9602331056182
677,,4.089247711383512
678,,6.578858707061977
680,,12.271971185819995
681,NGC_2516,4.6528371740421424e-05
682,,4.764149256441487
683,,19.577917737904528
684,Ruprecht_86,14.100646433146474
685,,1.4374545834270518
686,Alessi_3,3.336729439102787
687,,6.475144132464624
688,,3.1774634207098367
691,,5.038713590605909
692,,0.00017100994387304755
693,,6.531806835112021
694,,11.390856634808086
696,,1.013382073652914
697,,6.248586656507482
698,,9.208143686869581
699,,17.752485717327854
700,CARN,5.8342940243108385
702,,9.600411292823548
703,,5.4616231263407835
704,ABDMG,6.590756955572646
705,,10.844977665257131
706,,6.153780102526385
707,,5.483883049254223
709,NGC_1252,272.7992240969914
710,,6.3456883889394306e-06
711,,8.696012718192073
712,CAR,7.447093570607309
713,,10.376556141714675
714,,5.283434889782149
715,,8.551646700466643
716,,3.271061609461477
718,NGC_2132,47.137447163199646
719,vdBergh-Hagen_23,6.0443802339814185
721,,10.43194600375234
723,,10.930607703346485
724,,6.950071377704246
725,,7.219983626202757
726,NGC_2451A,3.080509918452438
727,,7.3362467092239285
728,,11.689635591942475
729,,18.442159052947012
730,,12.53350477633365
731,,9.074944508581716
732,,5.909499258335256
733,,5.458716089948135
734,,2.718983946159993
735,,7.255157257568036
736,,2.5167358622914304
737,,18.15019509892607
738,,11.390701476000283
739,,30.053405165614397
740,,5.192279782740714
741,,6.612042825124883
742,,7.884306876566794e-06
743,ESO_435-48,71.1496619391219
744,,10.099510116018823
745,,6.290720958826037
746,,5.049149799688969
747,,3.2673576973335794
748,,12.93205753099128
749,,18.410401809260932
750,ESO_502-19,80.51033216691303
751,,7.189012781970362
752,,9.161178646880769
